Prompt 1,Prompt 2,Prompt 3,Prompt 4,Prompt 5,doc_name,sent_idx,text,mention pair,label
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",1.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[1 2]," But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense.  10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests. ","[{'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}]",1.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': '10News', 'start_token_id': 34, 'end_token_id': 34}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'Jackson', 'start_token_id': 41, 'end_token_id': 41}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'California Highway Patrol', 'start_token_id': 46, 'end_token_id': 48}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'early Tuesday morning', 'start_token_id': 49, 'end_token_id': 51}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_10ecb.xml,[2 3], 10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests.  CHP Officer Brad Baehr said Jackson was on probation for a previous DUI arrest. ,"[{'mention': 'in San Diego', 'start_token_id': 27, 'end_token_id': 37}
 {'mention': 'tests', 'start_token_id': 55, 'end_token_id': 55}]",0.0
